name	bin length	GC%	# contigs	# features	revised_tax	Genbank Accession	Biosample Accession	Other Accession	scg	completeness	contamination
Candidatus_Woykebacteria_bacterium_RBG_13_40_7b	827425	38.75	50	940	Woykebacteria	MHCQ00000000	SAMN04313978	None	35	0.814	0.0
Candidatus_Buchananbacteria_bacterium_RBG_13_39_9	879605	38.3	34	841	Falkowbacteria	MHIA00000000	SAMN04313988	None	31	0.7209	0.0233
Candidatus_Woesebacteria_bacterium_RBG_13_46_13	711173	46.74	5	757	Woesebacteria	MGFR00000000	SAMN04313989	None	40	0.9302	0.0
Candidatus_Buchananbacteria_bacterium_RBG_13_36_9	1053163	35.64	24	1053	Falkowbacteria	MHHZ00000000	SAMN04314003	None	35	0.814	0.0233
Candidatus_Falkowbacteria_bacterium_RBG_13_39_14	1140157	38.26	100	1128	Falkowbacteria	MFFS00000000	SAMN04314004	None	36	0.8372	0.0233
Candidatus_Colwellbacteria_bacterium_RBG_13_48_8	373847	45.77	32	433	Colwellbacteria	MHIT00000000	SAMN04314005	None	33	0.7674	0.0
Candidatus_Portnoybacteria_bacterium_RBG_19FT_COMBO_36_7	761679	41.32	31	776	Portnoybacteria	MHMW00000000	SAMN04314019	None	42	0.9767	0.0
Candidatus_Gottesmanbacteria_bacterium_RBG_13_37_7	975187	35.17	74	986	Gottesmanbacteria	MFIY00000000	SAMN04314020	None	32	0.7442	0.0
Candidatus_Gottesmanbacteria_bacterium_RBG_13_45_10	1125301	44.25	38	1142	Gottesmanbacteria	MFIZ00000000	SAMN04314021	None	37	0.8605	0.0
Candidatus_Azambacteria_bacterium_RBG_16_47_10	676040	46.66	49	758	Azambacteria	MEYI00000000	SAMN04314031	None	38	0.8837	0.0
Candidatus_Woykebacteria_bacterium_RBG_16_43_9	853956	42.03	57	996	Woykebacteria	MHCS00000000	SAMN04314032	None	43	1.0	0.0233
Candidatus_Woesebacteria_bacterium_RBG_16_34_12	967855	34.68	32	1107	Woesebacteria	MGFS00000000	SAMN04314043	None	34	0.7907	0.0
Candidatus_Woykebacteria_bacterium_RBG_16_44_10	506143	43.2	31	637	Woykebacteria	MHCT00000000	SAMN04314045	None	35	0.814	0.0
Candidatus_Gottesmanbacteria_bacterium_RBG_16_52_11	1466945	51.4	18	1574	Gottesmanbacteria	MFJD00000000	SAMN04314054	None	40	0.9302	0.0
Microgenomates_group_bacterium_RBG_19FT_COMBO_39_10	654762	37.11	46	706	Shapirobacteria	MHDD00000000	SAMN04314062	None	38	0.8837	0.0
Candidatus_Woykebacteria_bacterium_RBG_19FT_COMBO_43_10	823188	42.35	73	1019	Woykebacteria	MHCU00000000	SAMN04314063	None	34	0.7907	0.0
Candidatus_Campbellbacteria_bacterium_RIFCSPLOWO2_02_35_12	357328	34.96	37	376	Campbellbacteria	MFAC00000000	SAMN04314082	None	35	0.814	0.0
Candidatus_Nealsonbacteria_bacterium_RBG_13_38_11	444155	36.3	47	470	Nealsonbacteria	MHLX00000000	SAMN04314089	None	31	0.7209	0.0233
Candidatus_Nealsonbacteria_bacterium_RBG_13_36_15	376759	35.39	34	411	Nealsonbacteria	MHLV00000000	SAMN04314099	None	39	0.907	0.0
Candidatus_Wolfebacteria_bacterium_GWA1_42_9	550676	41.75	32	655	Wolfebacteria	MGIN00000000	SAMN04314229	None	35	0.814	0.0
Candidatus_Jorgensenbacteria_bacterium_GWA1_54_12	512995	53.4	18	642	Jorgensenbacteria	MFKH00000000	SAMN04314231	None	39	0.907	0.0
Candidatus_Woykebacteria_bacterium_GWA1_44_8	832262	43.49	20	926	Woykebacteria	MHCN00000000	SAMN04314234	None	40	0.9302	0.0
Candidatus_Vogelbacteria_bacterium_GWA1_51_14	516680	50.1	35	612	Vogelbacteria	MHTG00000000	SAMN04314235	None	40	0.9302	0.0
Candidatus_Woesebacteria_bacterium_GWA1_41_8	673537	40.78	39	766	Woesebacteria	MGFJ00000000	SAMN04314236	None	34	0.7907	0.0
Candidatus_Jorgensenbacteria_bacterium_GWA1_49_17	455427	48.54	41	556	Jorgensenbacteria	MFKG00000000	SAMN04314237	None	37	0.8605	0.0
Candidatus_Wildermuthbacteria_bacterium_GWA2_46_15	536111	46.38	29	567	Wildermuthbacteria	MHTO00000000	SAMN04314238	None	38	0.8837	0.0
Candidatus_Kaiserbacteria_bacterium_GWA2_50_9	729802	50.28	44	871	Kaiserbacteria	MFKN00000000	SAMN04314239	None	37	0.8605	0.0
Candidatus_Colwellbacteria_bacterium_GWA2_46_10	507262	45.76	21	635	Colwellbacteria	MHIS00000000	SAMN04314240	None	39	0.907	0.0
Candidatus_Liptonbacteria_bacterium_GWB1_49_6	536030	50.19	41	655	Liptonbacteria	MHKU00000000	SAMN04314243	None	34	0.7907	0.0
Candidatus_Woesebacteria_bacterium_GWC2_33_12	852577	32.89	23	993	Woesebacteria	MGFO00000000	SAMN04314251	None	40	0.9302	0.0
Candidatus_Sungbacteria_bacterium_GWC2_49_10	504962	48.37	48	552	Sungbacteria	MHQB00000000	SAMN04314252	None	34	0.7907	0.0
Candidatus_Woykebacteria_bacterium_RBG_16_39_9b	594602	38.49	31	695	Woykebacteria	MHCR00000000	SAMN04314255	None	41	0.9535	0.0
Candidatus_Gottesmanbacteria_bacterium_RBG_16_43_7	1011601	42.34	71	1089	Gottesmanbacteria	MFJC00000000	SAMN04314275	None	33	0.7674	0.0
Candidatus_Woesebacteria_bacterium_RBG_13_34_9	659502	32.42	63	692	Woesebacteria	MGFP00000000	SAMN04314280	None	33	0.7674	0.0
Candidatus_Beckwithbacteria_bacterium_RBG_13_42_9	1173037	40.69	34	1217	Beckwithbacteria	MEZK00000000	SAMN04314281	None	36	0.8372	0.0233
Candidatus_Curtissbacteria_bacterium_RBG_13_35_7	803560	33.52	75	851	Curtissbacteria	MFAT00000000	SAMN04314285	None	33	0.7674	0.0
Candidatus_Woykebacteria_bacterium_RBG_13_40_15	982788	40.71	36	1060	Woykebacteria	MHCP00000000	SAMN04314293	None	41	0.9535	0.0
Candidatus_Nealsonbacteria_bacterium_RBG_13_42_11	494071	39.35	16	508	Nealsonbacteria	MHLY00000000	SAMN04314296	None	38	0.8837	0.0
Candidatus_Woesebacteria_bacterium_RIFOXYA1_FULL_38_9	879897	37.54	50	1018	Woesebacteria	MGHR00000000	SAMN04314312	None	36	0.8372	0.0
Candidatus_Shapirobacteria_bacterium_RIFOXYA1_FULL_39_17	599013	38.59	44	701	Shapirobacteria	MGDK00000000	SAMN04314316	None	37	0.8605	0.0
Candidatus_Curtissbacteria_bacterium_RIFOXYA1_FULL_41_14	1148276	40.23	30	1202	Curtissbacteria	MFCA00000000	SAMN04314317	None	42	0.9767	0.0
Candidatus_Berkelbacteria_bacterium_RIFOXYA2_FULL_43_10	960706	43.31	58	946	Berkelbacteria	MEZY00000000	SAMN04314336	None	37	0.8605	0.0
Candidatus_Nomurabacteria_bacterium_RIFOXYA2_FULL_42_12	640263	43.19	20	673	Nomurabacteria	MFVZ00000000	SAMN04314346	None	40	0.9302	0.0
Candidatus_Veblenbacteria_bacterium_RIFOXYA2_FULL_43_9	764778	42.08	57	797	Veblenbacteria	MHTB00000000	SAMN04314347	None	40	0.9302	0.0
Candidatus_Falkowbacteria_bacterium_RIFOXYA2_FULL_47_19	1713569	46.37	25	1569	Falkowbacteria	MFGB00000000	SAMN04314348	None	42	0.9767	0.0
Candidatus_Peregrinibacteria_bacterium_RIFOXYA2_FULL_33_7	1217677	32.8	121	1118	Peregrinibacteria	MFXG00000000	SAMN04314350	None	34	0.7907	0.0
Candidatus_Kerfeldbacteria_bacterium_RIFOXYA2_FULL_38_24	1165907	38.04	35	1110	Kerfeldbacteria	MHKH00000000	SAMN04314354	None	42	0.9767	0.0
Candidatus_Jacksonbacteria_bacterium_RIFOXYA2_FULL_43_12	1313001	43.18	48	1265	Jacksonbacteria	MHJW00000000	SAMN04314361	None	42	0.9767	0.0
Candidatus_Falkowbacteria_bacterium_RIFOXYA2_FULL_47_9	927938	46.55	52	935	Falkowbacteria	MFGC00000000	SAMN04314363	None	39	0.907	0.0
Candidatus_Magasanikbacteria_bacterium_RIFOXYA2_FULL_44_8	814391	44.4	73	813	Magasanikbacteria	MFQR00000000	SAMN04314382	None	32	0.7442	0.0233
Candidatus_Peregrinibacteria_bacterium_RIFOXYA2_FULL_33_21	1543728	33.21	42	1378	Peregrinibacteria	MFXF00000000	SAMN04314384	None	42	0.9767	0.0
Candidatus_Moranbacteria_bacterium_RIFOXYA12_FULL_35_19	988700	34.99	32	1001	Moranbacteria	MFSE00000000	SAMN04314392	None	41	0.9535	0.0
Candidatus_Moranbacteria_bacterium_RIFOXYA12_FULL_44_15	758527	43.53	44	760	Moranbacteria	MFSF00000000	SAMN04314409	None	40	0.9302	0.0
Candidatus_Magasanikbacteria_bacterium_RIFOXYB2_FULL_38_10	854266	39.41	20	787	Magasanikbacteria	MFQT00000000	SAMN04314415	None	42	0.9767	0.0
Candidatus_Uhrbacteria_bacterium_RIFOXYB2_FULL_41_10	769820	40.55	47	742	Uhrbacteria	MGFB00000000	SAMN04314438	None	39	0.907	0.0
Candidatus_Uhrbacteria_bacterium_RIFOXYB2_FULL_45_11	882956	44.7	70	915	Uhrbacteria	MGFD00000000	SAMN04314439	None	37	0.8605	0.0
Candidatus_Uhrbacteria_bacterium_RIFOXYB2_FULL_41_18	1055825	40.42	53	983	Uhrbacteria	MGFC00000000	SAMN04314453	None	41	0.9535	0.0
Candidatus_Peregrinibacteria_bacterium_RIFOXYB2_FULL_32_7	1111106	31.23	116	1024	Peregrinibacteria	MFXJ00000000	SAMN04314456	None	40	0.9302	0.0
Candidatus_Uhrbacteria_bacterium_RIFOXYB12_FULL_58_10	1123060	57.61	28	1156	Uhrbacteria	MGFA00000000	SAMN04314469	None	41	0.9535	0.0233
Candidatus_Staskawiczbacteria_bacterium_RIFOXYB1_FULL_38_37	762385	36.83	7	800	Staskawiczbacteria	MHPK00000000	SAMN04314474	None	42	0.9767	0.0
Candidatus_Nomurabacteria_bacterium_RIFOXYB1_FULL_39_16	762513	38.89	18	806	Nomurabacteria	MFWB00000000	SAMN04314477	None	38	0.8837	0.0
Candidatus_Staskawiczbacteria_bacterium_RIFOXYB1_FULL_37_44	835966	37.04	26	902	Staskawiczbacteria	MHPJ00000000	SAMN04314479	None	40	0.9302	0.0
Candidatus_Gottesmanbacteria_bacterium_RIFOXYB1_FULL_47_11	927171	47.01	31	1060	Gottesmanbacteria	MFKE00000000	SAMN04314484	None	40	0.9302	0.0
candidate_division_WWE3_bacterium_RIFOXYB1_FULL_43_12	728928	42.68	47	784	WWE3	MEVW00000000	SAMN04314485	None	34	0.7907	0.0
Candidatus_Nealsonbacteria_bacterium_RIFOXYB1_FULL_40_15	761172	39.61	21	834	Nealsonbacteria	MHMM00000000	SAMN04314486	None	41	0.9535	0.0
Candidatus_Collierbacteria_bacterium_RIFOXYB1_FULL_49_13	819155	48.38	73	977	Collierbacteria	MFAM00000000	SAMN04314489	None	33	0.7674	0.0
candidate_division_WS6_bacterium_RIFOXYB1_FULL_33_15	704381	32.77	15	691	Dojkabacteria	MEUO00000000	SAMN04314490	None	38	0.8837	0.0
Candidatus_Vogelbacteria_bacterium_RIFOXYB1_FULL_42_16	610990	41.59	23	613	Vogelbacteria	MHTH00000000	SAMN04314491	None	39	0.907	0.0
Candidatus_Wolfebacteria_bacterium_RIFOXYB1_FULL_54_12	824713	48.69	6	849	Wolfebacteria	MGIT00000000	SAMN04314493	None	42	0.9767	0.0233
Candidatus_Magasanikbacteria_bacterium_RIFOXYB1_FULL_40_15	961551	40.38	54	914	Magasanikbacteria	MFQS00000000	SAMN04314494	None	40	0.9302	0.0
Candidatus_Moranbacteria_bacterium_RIFOXYB1_FULL_44_23	1117683	43.81	19	1166	Moranbacteria	MFSI00000000	SAMN04314495	None	43	1.0	0.0
Candidatus_Woesebacteria_bacterium_RIFOXYB1_FULL_47_31	574068	46.71	48	662	Woesebacteria	MGIC00000000	SAMN04314497	None	36	0.8372	0.0
Candidatus_Pacebacteria_bacterium_RIFOXYB1_FULL_44_10	850235	43.05	40	869	Pacebacteria	MFWX00000000	SAMN04314499	None	39	0.907	0.0
Candidatus_Amesbacteria_bacterium_RIFOXYB1_FULL_47_13	992167	46.7	23	1112	Amesbacteria	MEXT00000000	SAMN04314500	None	41	0.9535	0.0
candidate_division_WWE3_bacterium_RIFOXYB1_FULL_43_24	777638	41.56	19	803	WWE3	MEVX00000000	SAMN04314501	None	39	0.907	0.0
Candidatus_Peribacteria_bacterium_RIFOXYB1_FULL_54_35	1562227	54.53	16	1425	PER-ii	MFYJ00000000	SAMN04314505	None	42	0.9767	0.0
Candidatus_Kaiserbacteria_bacterium_RIFOXYB1_FULL_46_14	632575	46.53	8	649	Kaiserbacteria	MFMS00000000	SAMN04314513	None	40	0.9302	0.0
Candidatus_Woesebacteria_bacterium_RIFOXYB1_FULL_41_13	678478	40.19	33	717	Woesebacteria	MGIA00000000	SAMN04314514	None	36	0.8372	0.0
Candidatus_Amesbacteria_bacterium_RIFOXYB1_FULL_44_23	1114964	43.7	62	1272	Amesbacteria	MEXR00000000	SAMN04314518	None	40	0.9302	0.0
candidate_division_WWE3_bacterium_RIFOXYB1_FULL_42_27	777980	41.58	25	805	WWE3	MEVV00000000	SAMN04314520	None	39	0.907	0.0
candidate_division_WS6_bacterium_RIFOXYB1_FULL_33_14	493643	31.82	115	554	Dojkabacteria	MEUN00000000	SAMN04314521	None	33	0.7674	0.0
Candidatus_Staskawiczbacteria_bacterium_RIFOXYC1_FULL_38_18	686676	38.73	32	765	Staskawiczbacteria	MHPP00000000	SAMN04314522	None	39	0.907	0.0
Candidatus_Yonathbacteria_bacterium_RIFOXYC1_FULL_52_10	765817	51.5	47	846	Yonathbacteria	MHUX00000000	SAMN04314529	None	40	0.9302	0.0
Candidatus_Adlerbacteria_bacterium_RIFOXYC1_FULL_48_26	630352	47.77	17	684	Adlerbacteria	MEXB00000000	SAMN04314540	None	41	0.9535	0.0
Candidatus_Moranbacteria_bacterium_RIFOXYC1_FULL_44_13	1081183	43.71	33	1136	Moranbacteria	MFSK00000000	SAMN04314541	None	41	0.9535	0.0
